Country,Distancing policy ,Date Implemented,Date Ended,Source,
Tunisia,Nationwide curfew 6pm to 6am,18 March,,https://observers.france24.com/en/20200319-coronavirus-continues-spread-tunisia-despite-mosque-cafe-closures,
Uganda,Mandatory quarantine,18 March,,,
Uganda,Closure of public gathering places,18 March,19 April,,
Uganda,Closure of schools and universities,20 March,19 April,https://www.theeastafrican.co.ke/news/ea/Museveni-orders-closure-of-schools/4552908-5495920-g6x714/index.html,
Uganda,Public transports suspended,25 March,8 April,https://www.monitor.co.ug/News/National/Photos-that-will-compel-you-cancel-your-journey-Kampala/688334-5505362-g3u0ib/index.html,
Uganda,Nationwide curfew from 7pm to 6:30 am,30 March,13 April,https://www.aa.com.tr/en/africa/uganda-declares-curfew-to-curb-spread-of-covid-19/1785775,
Uganda,All flights suspended,18 March,19 April,https://www.pmldaily.com/features/tours-travel/2020/03/full-speech-uganda-bans-travellers-from-covid-19-hit-countries.html,
Western Sahara,,,,,
Zambia,Closure of all educational establishments,20 March,,https://diggers.news/local/2020/03/17/govt-shuts-all-schools-to-prevent-covid-19-outbreak/,
Zambia,Mandatory screening,22 March,,https://diggers.news/local/2020/03/17/govt-shuts-all-schools-to-prevent-covid-19-outbreak/,
Zimbabwe,National emergency,17 March,,https://www.nbcnews.com/news/nbcblk/africa-lockdowns-begin-coronavirus-cases-above-1-000-n1168676,
Zimbabwe,Closure of some borders and screening intensified,24 March,,https://iharare.com/coronavirus-zim-update/,
Zimbabwe,Suspension of gatherings of more than 100 people,23 March,,https://iharare.com/coronavirus-zim-update/,
