Country,Distancing policy ,Date Implemented,Date Ended,Source,
Egypt,"Closure of restaurants, cafes and public places from 7pm to 6 am",19 March,31 March,https://egyptindependent.com/egypt-closes-restaurants-cafes-commercial-shops-overnight-until-march-31/?__cf_chl_jschl_tk__=97064f8e08baca981070ae1bfed4bab4637a7516-1586892392-0-ATheg0ojPHbDPWKYZHjktnfIjtg6PIk0WiPca7GZHrg-1Bkm4YDoNivgDWaRPWaNXQkQVMWoWgxE21tiL9PV5LDMZxzAPlMtlbw4i0IE5YRd6OmLpDFz7C8Hqz925Qijc5RJ7wyiPNGjxkdQj1QfBAJY6ZiKSm6YA9zNNa2XjoO5f2goJ5qdYALUzxfBmR_GVFDVuPd5ptxe3Thu11WD-86N2b9hFYKkmQAn9dDnRKu5Kf7GbwzyRePP7ePH5qRlr5XfhKeykhJBC0K39s3NFI-nYCS3XrfJ5nGjS86QsNwXUCoc0_NSqu0YV3fhQW9y-JqvPQKRC9pN8fZlrsuU-_slxK7QBr1jFcGA4TtGdXJpjTxjxEClyx1m--Ws0AuIMA,
Equatorial Guinea,Declared a national state of emergency,23 March,,https://www.aa.com.tr/en/africa/equatorial-guinea-declares-state-of-alarm-over-covid-19/1774801,
Equatorial Guinea,Suspensions of all international flights,13 March,13 April,https://www.garda.com/crisis24/news-alerts/323826/equatorial-guinea-government-implements-travel-restrictions-due-to-covid-19-march-13,
Equatorial Guinea,Border closure,13 March,13 April,https://www.garda.com/crisis24/news-alerts/323826/equatorial-guinea-government-implements-travel-restrictions-due-to-covid-19-march-13,
Eritrea,Suspension of all flights ,25 March,15 April,https://www.africanews.com/2020/04/14/eritrea-s-coronavirus-rules-chinese-italians-iranians-to-be-quarantined/,
Eritrea,Closure of restaurants and other service outlets,31 March,14 April,https://www.africanews.com/2020/04/14/eritrea-s-coronavirus-rules-chinese-italians-iranians-to-be-quarantined/,
Eritrea,Ban of social and public gatherings of more than 10 people,23 March,,https://www.africanews.com/2020/04/14/eritrea-s-coronavirus-rules-chinese-italians-iranians-to-be-quarantined/,
Eritrea,Closure of all public transportation,27 March,,https://www.africanews.com/2020/04/14/eritrea-s-coronavirus-rules-chinese-italians-iranians-to-be-quarantined/,
Eritrea,Closure of universities and schools,27 March,,https://www.africanews.com/2020/04/14/eritrea-s-coronavirus-rules-chinese-italians-iranians-to-be-quarantined/,
Eritrea,National lockdown,2 April,21 April,https://www.africanews.com/2020/04/14/eritrea-s-coronavirus-rules-chinese-italians-iranians-to-be-quarantined/,
Eswatini,All commercial flights suspended,27 March,,https://www.aci-africa.aero/files/Status-COVID19-in-Africa-02-04-20.pdf,
Eswatini,Partial Lockdown,27 March,,https://www.africanews.com/2020/03/24/coronavirus-eswatini-prime-minister-s-statement//,
Eswatini,National emergency,17 March,,https://www.cnbcafrica.com/africa-press-office/2020/03/23/coronavirus-estawini-measures-to-be-taken-following-the-national-emergency-declaration/,
Eswatini,Domestic travel restrictions,26 March,15 April,https://www.garda.com/crisis24/news-alerts/326956/eswatini-partial-lockdown-comes-into-effect-march-27-update-1,
Ethiopia,Mandatory quarantine,23 March,,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,
Ethiopia,State of emergency,10 April,10 September,https://www.fanabc.com/english/ethiopia-declares-state-of-emergency-over-covid19/,
Ethiopia,Closure of schools and ban on public events,16 March,31 March,https://www.aa.com.tr/en/africa/covid-19-ethiopia-closes-schools-bans-public-events/1767683,
Ethiopia,Closure of land borders,23 March,,https://www.bloomberg.com/news/articles/2020-03-23/ethiopia-closes-land-border-deploys-troops-to-combat-virus,
